chr22	41799949	41800957
chr22	41832503	41833980
chr22	38656049	38657049
chr22	50673507	50675314
chr22	50730599	50731304
chr22	38681800	38682395
chr22	38700368	38701749
chr22	38705820	38706663
chr22	38755452	38756471
chr22	38793716	38794000
chr22	41946403	41947274
chr22	42074031	42074665
chr22	42079470	42080090
chr22	42090345	42091242
chr22	50342761	50343580
chr22	43142907	43143520
chr22	37804665	37805684
chr22	37807581	37808211
chr22	37905947	37906864
chr22	37983086	37983957
chr22	43186673	43187824
chr22	37824582	37825612
chr22	41285545	41286539
chr22	37849334	37849674
chr22	37843785	37844402
chr22	41543913	41544684
chr22	43862231	43862732
chr22	43955022	43955782
chr22	43923698	43924633
chr22	38088608	38089714
chr22	38201778	38202981
chr22	38214328	38214821
chr22	38181671	38182064
chr22	38272379	38273070
chr22	41620771	41621780
chr22	46267708	46268149
chr22	46296313	46297452
chr22	38843004	38844420
chr22	39994480	39995486
chr22	40044848	40045806
chr22	46335482	46336440
chr22	44701875	44702921
chr22	39145017	39146132
chr22	46463718	46464332
chr22	46576564	46577712
chr22	39231585	39231806
chr22	39242197	39244894
chr22	39319468	39319940
chr22	46762170	46763083
chr22	40370455	40371029
chr22	40636125	40637268
chr22	39349655	39350629
chr22	39399623	39400166
chr22	45007008	45010491
chr22	39456200	39457987
chr22	36028171	36029255
chr22	39502095	39502784
chr22	39519617	39520992
chr22	45309630	45310735
chr22	40819131	40819572
