bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
879	chr22	38569728	38570723	CpG: 80	995	80	640	16.1	64.3	0.8
903	chr22	41699410	41700185	CpG: 73	775	73	537	18.8	69.3	0.79
903	chr22	41799949	41800957	CpG: 76	1008	76	655	15.1	65	0.72
971	chr22	50627837	50628510	CpG: 66	673	66	436	19.6	64.8	0.94
904	chr22	41832503	41833980	CpG: 157	1477	157	966	21.3	65.4	1
879	chr22	38656049	38657049	CpG: 78	1000	78	614	15.6	61.4	0.84
971	chr22	50673507	50675314	CpG: 208	1807	208	1368	23	75.7	0.82
971	chr22	50697242	50697698	CpG: 56	456	56	327	24.6	71.7	0.96
971	chr22	50704374	50704880	CpG: 38	506	38	328	15	64.8	0.72
971	chr22	50710877	50711294	CpG: 41	417	41	267	19.7	64	1.01
971	chr22	50719958	50721632	CpG: 180	1674	180	1209	21.5	72.2	0.84
972	chr22	50730599	50731304	CpG: 65	705	65	416	18.4	59	1.08
904	chr22	41909613	41911250	CpG: 175	1637	175	1144	21.4	69.9	0.87
904	chr22	41914053	41915665	CpG: 193	1612	193	1111	23.9	68.9	1.01
904	chr22	41926039	41926905	CpG: 95	866	95	642	21.9	74.1	0.8
904	chr22	41919498	41920405	CpG: 76	907	76	630	16.8	69.5	0.7
880	chr22	38681800	38682395	CpG: 61	595	61	392	20.5	65.9	0.95
880	chr22	38700368	38701749	CpG: 159	1381	159	958	23	69.4	0.96
880	chr22	38705820	38706663	CpG: 101	843	101	601	24	71.3	0.94
880	chr22	38755452	38756471	CpG: 132	1019	132	784	25.9	76.9	0.88
880	chr22	38793716	38794000	CpG: 23	284	23	194	16.2	68.3	0.78
905	chr22	41946403	41947274	CpG: 71	871	71	576	16.3	66.1	0.75
905	chr22	41998585	41999251	CpG: 67	666	67	436	20.1	65.5	0.94
905	chr22	42070403	42071117	CpG: 55	714	55	467	15.4	65.4	0.73
113	chr22	42074031	42074665	CpG: 66	634	66	466	20.8	73.5	0.78
906	chr22	42079470	42080090	CpG: 63	620	63	421	20.3	67.9	0.89
906	chr22	42090345	42091242	CpG: 87	897	87	592	19.4	66	0.89
878	chr22	38426874	38428188	CpG: 103	1314	103	834	15.7	63.5	0.78
878	chr22	38454760	38455691	CpG: 159	931	159	762	34.2	81.8	1.04
913	chr22	43089051	43089539	CpG: 56	488	56	346	23	70.9	0.92
969	chr22	50447028	50447281	CpG: 21	253	21	172	16.6	68	0.72
969	chr22	50454407	50454613	CpG: 17	206	17	138	16.5	67	0.74
969	chr22	50459913	50460201	CpG: 21	288	21	196	14.6	68.1	0.63
969	chr22	50461532	50461850	CpG: 27	318	27	225	17	70.8	0.69
970	chr22	50464620	50464923	CpG: 24	303	24	204	15.8	67.3	0.7
970	chr22	50474121	50475428	CpG: 116	1307	116	779	17.8	59.6	1.02
969	chr22	50342761	50343580	CpG: 79	819	79	542	19.3	66.2	0.88
969	chr22	50406729	50407008	CpG: 20	279	20	162	14.3	58.1	0.85
969	chr22	50424327	50424538	CpG: 27	211	27	135	25.6	64	1.35
969	chr22	50431234	50431463	CpG: 17	229	17	145	14.8	63.3	0.75
969	chr22	50434907	50435145	CpG: 20	238	20	163	16.8	68.5	0.72
969	chr22	50437075	50437330	CpG: 19	255	19	161	14.9	63.1	0.75
914	chr22	43142907	43143520	CpG: 82	613	82	450	26.8	73.4	0.99
873	chr22	37804665	37805684	CpG: 103	1019	103	715	20.2	70.2	0.82
873	chr22	37807581	37808211	CpG: 64	630	64	435	20.3	69	0.85
874	chr22	37905947	37906864	CpG: 98	917	98	566	21.4	61.7	1.12
914	chr22	43151313	43152163	CpG: 70	850	70	540	16.5	63.5	0.83
874	chr22	37953495	37953962	CpG: 45	467	45	307	19.3	65.7	0.92
