chr15	82127351	82128203
chr15	82146702	82148068
chr15	79658607	79659496
chr15	89498755	89500484
chr15	89557621	89558315
chr15	79670739	79671245
chr15	79687325	79688394
chr15	79690770	79691561
chr15	79742067	79742876
chr15	79774036	79774291
chr15	82244119	82244829
chr15	82340930	82341441
chr15	82345820	82346410
chr15	82353958	82354480
chr15	89211434	89211812
chr15	83555260	83555856
chr15	79027885	79028861
chr15	79030611	79031185
chr15	79108735	79109814
chr15	79162986	79163869
chr15	83594779	83595142
chr15	79042660	79043580
chr15	81729388	81730220
chr15	79075152	79075478
chr15	79062458	79062956
chr15	81925724	81926442
chr15	84105448	84105734
chr15	84192114	84192441
chr15	84167685	84168102
chr15	79261010	79261999
chr15	79347309	79348395
chr15	79357318	79357816
chr15	79328096	79328494
chr15	79402800	79403341
chr15	82015897	82016800
chr15	85832190	85832474
chr15	85859575	85860065
chr15	79803799	79805122
chr15	80671348	80672342
chr15	80711333	80712311
chr15	85879212	85879474
chr15	84680721	84681509
chr15	79927775	79928088
chr15	85978613	85979227
chr15	86058355	86059366
chr15	80001646	80001866
chr15	80012307	80014913
chr15	80083204	80083633
chr15	86213969	86214868
chr15	80977734	80978104
chr15	81190176	81191294
chr15	80091092	80091834
chr15	80133010	80133482
chr15	84853463	84856563
chr15	80172912	80174226
chr15	77306316	77307265
chr15	80233902	80234425
chr15	80255022	80255895
chr15	85036972	85037708
chr15	81360641	81360954
